eggmass,date,session,operator,device,time.sec,count,curly,notes
97,,3,Jack,Aplysia Bar,14,1,,
97,,3,Jack,Aplysia Bar,12,1,,
97,,3,Jack,Aplysia Bar,20,1,,
97,,3,Jack,Aplysia Bar,14,1,,
97,,3,Jack,Aplysia Bar,16,1,,
97,,3,Jack,Aplysia Bar,14,1,,
97,,3,Jack,Aplysia Bar,17,1,,
97,,3,Jack,Aplysia Bar,17,1,,
97,,3,Jack,Aplysia Bar,14,1,,
97,,3,Jack,Aplysia Bar,33,2,Yes,
97,,3,Jack,Aplysia Bar,32,2,Yes,
12,2/8/23,5,Jack,Aplysia Bar,62,8,,
12,2/8/23,5,Jack,Aplysia Bar,43,8,,
12,2/8/23,5,Jack,Aplysia Bar,16,4,,
12,2/8/23,5,Jack,Aplysia Bar,25,6,,
12,2/8/23,5,Jack,Aplysia Bar,49,6,yes,
12,2/8/23,5,Jack,Aplysia Bar,17,3,,
12,2/8/23,5,Jack,Aplysia Bar,43,11,yes,
12,2/8/23,5,Jack,Aplysia Bar,69,6,,
12,2/8/23,5,Jack,Aplysia Bar,19,3,,
12,2/8/23,5,Jack,Aplysia Bar,19,3,,
12,2/8/23,5,Jack,Aplysia Bar,36,7,,
12,2/8/23,5,Jack,Aplysia Bar,20,4,,
12,2/8/23,5,Jack,Aplysia Bar,32,7,,
12,2/8/23,5,Jack,Aplysia Bar,22,4,,
12,2/8/23,5,Jack,Aplysia Bar,11,2,,
12,2/8/23,5,Jack,Aplysia Bar,31,7,,
12,2/8/23,5,Jack,Aplysia Bar,21,4,,
12,2/8/23,5,Jack,Aplysia Bar,57,16,,
12,2/8/23,5,Jack,Aplysia Bar,27,7,,
97,,1,Sarah,Aplysia Bar,27,1,,
97,,1,Sarah,Aplysia Bar,17,2,,
97,,1,Sarah,Aplysia Bar,28,4,,
97,,1,Sarah,Aplysia Bar,26,3,,
97,,1,Sarah,Aplysia Bar,23,3,,
97,,1,Sarah,Aplysia Bar,25,3,Yes,
97,,1,Sarah,Aplysia Bar,20,2,,
97,,1,Sarah,Aplysia Bar,25,2,,
97,,1,Sarah,Aplysia Bar,21,2,,No cut
97,,1,Sarah,Aplysia Bar,17,2,,No cut
97,,1,Sarah,Aplysia Bar,20,2,,
97,,1,Sarah,Aplysia Bar,29,2,Yes,
97,,1,Sarah,Aplysia Bar,24,2,,
97,,1,Sarah,Aplysia Bar,38,2,Yes,
97,,1,Sarah,Aplysia Bar,26,3,,
97,,1,Sarah,Aplysia Bar,31,2,Yes,
97,,1,Sarah,Aplysia Bar,19,3,,
97,,1,Sarah,Aplysia Bar,31,6,,
97,,1,Sarah,Aplysia Bar,17,1,,
97,,4,Sarah,Aplysia Bar,30,6,,
97,,4,Sarah,Aplysia Bar,32,5,,
97,,4,Sarah,Aplysia Bar,19,3,,
97,,4,Sarah,Aplysia Bar,21,3,,
97,,4,Sarah,Aplysia Bar,26,4,,
97,,4,Sarah,Aplysia Bar,59,4,Yes,
97,,4,Sarah,Aplysia Bar,19,4,,
97,,4,Sarah,Aplysia Bar,30,6,,
97,,4,Sarah,Aplysia Bar,28,3,Yes,
97,,4,Sarah,Aplysia Bar,23,3,,
97,,4,Sarah,Aplysia Bar,36,3,Yes,
97,,4,Sarah,Aplysia Bar,29,3,Yes,
97,,4,Sarah,Aplysia Bar,20,3,,
97,,4,Sarah,Aplysia Bar,24,2,,
97,,4,Sarah,Aplysia Bar,51,3,Yes,
97,,4,Sarah,Aplysia Bar,20,2,,
97,,4,Sarah,Aplysia Bar,27,2,Yes,
97,,4,Sarah,Aplysia Bar,18,2,,
97,,4,Sarah,Aplysia Bar,19,2,,
97,,4,Sarah,Aplysia Bar,15,2,,
97,,4,Sarah,Aplysia Bar,13,2,,
97,,4,Sarah,Aplysia Bar,18,2,,
97,,4,Sarah,Aplysia Bar,46,2,Yes,
97,,4,Sarah,Aplysia Bar,22,2,,
97,,4,Sarah,Aplysia Bar,16,1,,
97,,4,Sarah,Aplysia Bar,27,3,Yes,
97,,4,Sarah,Aplysia Bar,15,1,,
97,,4,Sarah,Aplysia Bar,15,1,,
97,,4,Sarah,Aplysia Bar,15,1,,
97,,4,Sarah,Aplysia Bar,19,2,,
97,,4,Sarah,Aplysia Bar,7,1,,
97,,4,Sarah,Aplysia Bar,8,1,,
97,,4,Sarah,Aplysia Bar,28,1,Yes,
unknown,2/8/23,5,Sarah,Aplysia Bar,20,2,,
unknown,2/8/23,5,Sarah,Aplysia Bar,16,2,,
unknown,2/8/23,5,Sarah,Aplysia Bar,15,2,,
